steps,rewards,prices,actions
759,-0.005,19327.18,0
760,-0.005,19124.55,2
761,-0.005,19041.91,2
762,-0.005,19161.86,2
763,-0.005,19198.82,2
764,0.0,19567.91,1
765,-0.005,19333.71,2
766,-0.005,20081.65,2
767,0.0,20769.24,1
768,-0.005,20284.81,2
769,-0.005,20593.05,0
770,-0.005,20809.41,0
771,-0.005,20626.25,2
772,-0.005,20491.01,2
773,-0.005,20484.48,2
774,-0.005,20151.3,0
775,-0.005,20207.92,2
776,-0.005,21144.35,0
777,-0.005,21298.67,2
778,0.0,20909.54,1
779,-0.005,20588.72,2
780,-0.005,18544.85,2
781,-0.005,15914.31,0
782,-0.005,17602.43,0
783,-0.005,17051.1,2
784,-0.005,16803.53,2
785,-0.005,16332.58,0
786,-0.005,16616.67,2
787,-0.005,16898.13,0
788,-0.005,16662.13,0
789,-0.005,16694.11,0
790,0.0,16698.08,1
791,-0.005,16706.23,2
792,-0.005,16287.14,2
793,-0.005,15778.69,2
794,-0.005,16222.14,2
795,-0.005,16607.84,2
796,-0.005,16598.9,2
797,-0.005,16529.27,2
798,-0.005,16455.03,2
799,-0.005,16427.99,2
800,-0.005,16214.19,2
801,-0.005,16441.83,2
802,0.0,17165.51,1
803,-0.005,16978.21,0
804,0.0,17092.93,1
805,-0.005,16883.8,0
806,-0.005,17111.01,2
807,-0.005,16964.29,2
808,-0.005,17086.41,0
809,-0.005,16835.81,2
810,-0.005,17224.8,0
811,0.0,17129.52,1
812,-0.005,17126.06,0
813,-0.005,17091.48,2
814,0.0,17210.7,1
815,-0.005,17775.88,2
816,-0.005,17799.93,2
817,-0.005,17358.0,2
818,-0.005,16631.94,2
819,-0.005,16775.85,2
820,-0.005,16738.72,0
821,-0.005,16441.58,0
822,-0.005,16895.72,2
823,-0.005,16829.26,2
824,-0.005,16822.47,2
825,-0.005,16779.45,0
826,-0.005,16834.55,0
827,-0.005,16831.32,0
828,-0.005,16916.77,0
829,-0.005,16705.47,0
830,-0.005,16546.52,0
831,-0.005,16636.0,2
832,-0.005,16608.02,2
833,-0.005,16541.26,2
834,-0.005,16617.0,0
835,0.0,16673.32,1
836,-0.005,16674.3,2
837,-0.005,16850.41,2
838,-0.005,16831.72,0
839,-0.005,16950.67,2
840,0.0,16943.59,1
841,-0.005,17128.31,2
842,-0.005,17178.31,2
843,-0.005,17440.12,0
844,-0.005,17942.41,2
845,-0.005,18850.01,2
846,-0.005,19929.62,0
847,-0.005,20953.35,2
848,-0.005,20872.5,0
849,-0.005,21185.55,2
850,0.0,21134.66,1
851,-0.005,20679.41,0
852,-0.005,21073.2,0
853,-0.005,22669.11,0
854,-0.005,22780.31,0
855,-0.005,22708.48,0
856,-0.005,22912.95,2
857,-0.005,22633.28,2
858,0.0,23057.58,1
859,-0.005,23007.23,0
860,-0.005,23072.46,0
861,-0.005,23021.85,2
862,-0.005,23747.03,2
863,-0.005,22827.54,2
864,-0.005,23130.07,2
865,-0.005,23731.4,2
866,0.0,23487.08,1
867,-0.005,23431.73,2
868,-0.005,23327.32,2
869,-0.005,22928.72,2
870,-0.005,22761.88,0
871,-0.005,23243.64,2
872,-0.005,22960.73,2
873,-0.005,21797.17,2
874,-0.005,21633.78,2
875,-0.005,21860.86,2
876,-0.005,21784.39,2
877,-0.005,21774.25,2
878,-0.005,22202.76,2
879,-0.005,24327.98,0
880,-0.005,23511.81,2
881,-0.005,24573.38,0
882,-0.005,24632.15,2
883,0.0,24278.24,1
884,-0.005,24841.69,2
885,-0.005,24451.98,2
886,-0.005,24182.92,2
887,-0.005,23937.74,2
888,-0.005,23184.48,0
889,-0.005,23164.25,2
890,-0.005,23555.9,2
891,-0.005,23492.78,0
892,-0.005,23141.46,0
893,-0.005,23633.88,2
894,0.0,23464.98,1
895,-0.005,22354.37,2
896,-0.005,22346.7,2
897,-0.005,22429.42,2
898,-0.005,22408.85,0
899,-0.005,22198.4,2
900,-0.005,21704.03,2
901,-0.005,20361.01,2
902,-0.005,20151.4,0
903,-0.005,20458.41,2
904,-0.005,21995.43,2
905,-0.005,24107.64,0
906,-0.005,24674.77,2
907,-0.005,24284.73,2
908,-0.005,25002.0,0
909,-0.005,27384.78,2
910,-0.005,26907.5,2
911,-0.005,27966.67,2
912,-0.005,27721.39,2
913,-0.005,28107.3,2
914,-0.005,27251.05,0
915,-0.005,28295.26,2
916,0.0,27444.7,1
917,0.0,27468.53,1
918,-0.005,27968.15,2
919,-0.005,27124.14,0
920,-0.005,27260.96,2
921,-0.005,28348.58,2
922,-0.005,28028.54,0
923,-0.005,28465.68,2
924,-0.005,28453.34,2
925,-0.005,28171.43,2
926,-0.005,27801.61,2
927,0.0,28165.77,1
928,-0.005,28171.89,0
929,-0.005,28034.11,2
930,0.0,27906.45,1
931,-0.005,27938.47,2
932,-0.005,28322.81,2
933,-0.005,29637.2,2
934,-0.005,30199.91,2
935,-0.005,29888.27,2
936,0.0,30375.59,1
937,-0.005,30466.97,2
938,-0.005,30295.01,2
939,-0.005,30307.29,2
940,-0.005,29429.92,2
941,-0.005,30380.16,2
942,-0.005,28809.79,2
943,-0.005,28243.94,2
944,-0.005,27262.95,2
945,-0.005,27812.99,2
946,-0.005,27590.46,0
947,-0.005,27511.13,0
948,-0.005,28300.8,2
949,0.0,28415.3,1
950,-0.005,29472.78,2
951,-0.005,29311.7,2
952,-0.005,29230.45,2
953,-0.005,29219.22,2
954,-0.005,28068.27,2
955,-0.005,28669.86,2
956,-0.005,29026.15,2
957,-0.005,28838.16,2
958,-0.005,42730.0,2
959,-0.005,43905.83,2
960,-0.005,42505.92,0
961,-0.005,43059.96,0
962,-0.005,43078.45,2
963,-0.005,43069.51,2
964,0.0,42201.99,1
965,0.0,42352.18,1
966,-0.005,41663.81,2
967,-0.005,40704.32,0
968,-0.005,36455.47,2
969,-0.005,35070.35,0
970,-0.005,36251.6,0
971,-0.005,36669.17,0
972,0.0,36950.75,1
973,-0.005,36796.91,0
974,-0.005,37165.95,2
975,-0.005,37716.57,2
976,0.0,38167.4,1
977,-0.005,37896.8,0
978,-0.005,38463.88,0
979,-0.005,38695.22,0
980,-0.005,36893.08,2
981,-0.005,37310.29,2
982,-0.005,41560.38,2
983,-0.005,41382.6,2
984,-0.005,42381.72,0
985,-0.005,43825.72,0
986,-0.005,44032.87,2
987,-0.005,44374.57,2
988,-0.005,43494.01,2
989,0.0,42373.59,1
990,-0.005,42214.01,2
991,-0.005,42050.67,0
992,-0.005,42531.87,0
993,-0.005,44544.44,2
994,-0.005,43873.96,0
995,-0.005,40512.64,0
996,-0.005,39974.83,2
997,-0.005,40080.53,0
998,-0.005,38381.48,0
999,-0.005,37011.07,2
1000,-0.005,38238.96,2
1001,-0.005,37250.61,2
1002,-0.005,38325.31,0
1003,-0.005,39214.93,0
1004,-0.005,39116.35,2
